# --------------------------------------------------
# nrow : 41
# ncol : 4
# comment : AMS streamflow data for station 203024. Water year starts on the 1/10.
# time_generated : 2026-01-23 09:30:26
# author : unknown
# source_file : get_data.py
# --------------------------------------------------
WATER_YEAR_START,203024_TIMEPEAK,203024_PEAK,203024_NVALID,203024_DAYOFYEAR
1982-10-01,1983-06-23,90.92200,181,265
1983-10-01,1984-04-09,259.81601,81,191
1984-10-01,1985-03-10,79.55300,155,160
1985-10-01,,,0,-1
1986-10-01,,,0,-1
1987-10-01,,,0,-1
1988-10-01,,,0,-1
1989-10-01,,,0,-1
1990-10-01,,,0,-1
1991-10-01,,,0,-1
1992-10-01,,,0,-1
1993-10-01,,,0,-1
1994-10-01,,,0,-1
1995-10-01,,,0,-1
1996-10-01,,,0,-1
1997-10-01,,,0,-1
1998-10-01,,,0,-1
1999-10-01,2000-06-11,11.22700,100,254
2000-10-01,2000-11-16,2.69700,73,46
2001-10-01,2002-05-06,8.21800,298,217
2002-10-01,2003-06-27,89.89300,353,269
2003-10-01,2004-03-06,207.84900,355,157
2004-10-01,2005-06-30,370.68500,343,272
2005-10-01,2006-01-19,323.22198,360,110
2006-10-01,2007-08-22,17.53200,355,325
2007-10-01,2008-01-04,202.58800,366,95
2008-10-01,2009-05-22,343.81900,365,233
2009-10-01,2010-06-03,162.20099,365,245
2010-10-01,2010-12-27,149.38400,365,87
2011-10-01,2012-01-25,314.89001,366,116
2012-10-01,2013-01-28,383.71500,365,119
2013-10-01,2014-03-28,124.59400,365,178
2014-10-01,2015-05-02,176.15900,365,213
2015-10-01,2016-06-05,463.25775,366,248
2016-10-01,2017-03-31,374.98041,365,181
2017-10-01,2018-02-25,56.08262,365,147
2018-10-01,2018-10-15,43.27252,363,14
2019-10-01,2020-02-14,216.18817,366,136
2020-10-01,2021-03-23,141.14287,365,173
2021-10-01,2022-02-28,807.68170,365,150
2022-10-01,2022-10-24,253.09869,362,23
