# --------------------------------------------------
# nrow : 66
# ncol : 4
# comment : AMS streamflow data for station 203014. Water year starts on the 1/10.
# time_generated : 2026-01-23 09:30:30
# author : unknown
# source_file : get_data.py
# --------------------------------------------------
WATER_YEAR_START,203014_TIMEPEAK,203014_PEAK,203014_NVALID,203014_DAYOFYEAR
1957-10-01,1958-08-06,315.07001,365,309
1958-10-01,1959-01-22,222.39000,358,113
1959-10-01,1959-11-12,233.28299,366,42
1960-10-01,1961-02-19,318.13300,365,141
1961-10-01,1962-07-10,540.32001,315,282
1962-10-01,1963-05-08,378.79001,365,219
1963-10-01,1964-03-27,79.62600,366,178
1964-10-01,1965-06-26,30.91500,343,268
1965-10-01,1966-06-11,268.79901,365,253
1966-10-01,1967-03-19,340.36200,365,169
1967-10-01,1968-08-14,93.77800,366,318
1968-10-01,1969-05-15,29.16900,355,226
1969-10-01,1970-02-22,101.52800,365,144
1970-10-01,1970-12-09,251.83200,365,69
1971-10-01,1972-02-12,377.67801,358,134
1972-10-01,1972-10-28,381.86499,365,27
1973-10-01,1974-03-10,438.13400,365,160
1974-10-01,1975-03-02,291.94400,365,152
1975-10-01,1976-02-28,741.15698,366,150
1976-10-01,1977-03-03,313.66602,359,153
1977-10-01,1978-03-18,338.60199,360,168
1978-10-01,1979-07-30,111.49300,365,302
1979-10-01,1980-05-09,281.84601,361,221
1980-10-01,1981-05-22,328.21899,365,233
1981-10-01,1982-03-05,70.25200,268,155
1982-10-01,1983-06-23,235.10400,365,265
1983-10-01,1984-04-09,380.74402,366,191
1984-10-01,1985-07-09,455.98599,365,281
1985-10-01,1985-10-27,39.62500,335,26
1986-10-01,1987-05-10,460.74402,365,221
1987-10-01,1988-04-07,377.64200,366,189
1988-10-01,1989-04-26,302.86499,365,207
1989-10-01,1990-02-03,160.79199,354,125
1990-10-01,1991-03-13,90.04500,365,163
1991-10-01,1991-12-13,128.55899,366,73
1992-10-01,1993-07-14,15.08000,353,286
1993-10-01,1994-03-04,148.84799,365,154
1994-10-01,1995-02-15,348.90302,358,137
1995-10-01,1996-01-10,198.71600,366,101
1996-10-01,1997-07-31,39.13400,365,303
1997-10-01,1998-09-12,20.59500,355,346
1998-10-01,1999-03-02,139.69101,365,152
1999-10-01,2000-01-14,104.20000,366,105
2000-10-01,2001-02-01,370.74701,365,123
2001-10-01,2002-05-05,32.13800,300,216
2002-10-01,2003-06-27,106.25400,360,269
2003-10-01,2004-03-06,108.02700,356,157
2004-10-01,2005-06-30,431.10501,340,272
2005-10-01,2006-01-19,412.50000,295,110
2006-10-01,2007-08-22,33.41300,354,325
2007-10-01,2008-01-04,274.58701,366,95
2008-10-01,2009-05-22,428.17593,341,233
2009-10-01,2010-06-04,169.81825,365,246
2010-10-01,2010-10-05,177.38692,365,4
2011-10-01,2012-01-26,328.22290,366,117
2012-10-01,2013-01-29,365.42319,365,120
2013-10-01,2014-08-28,80.99983,365,331
2014-10-01,2015-05-03,210.66101,365,214
2015-10-01,2016-06-05,521.47351,366,248
2016-10-01,2017-03-31,428.38333,360,181
2017-10-01,2018-02-25,49.39650,365,147
2018-10-01,2019-06-27,45.57258,365,269
2019-10-01,2020-02-07,165.74300,359,129
2020-10-01,2021-03-23,253.78186,361,173
2021-10-01,2022-03-01,578.37592,365,151
2022-10-01,2022-10-25,217.97699,359,24
