# --------------------------------------------------
# nrow : 53
# ncol : 3
# comment : AMS streamflow data for station 203004. Water year starts on the 1/{wys}.
# time_generated : 2025-11-03 10:08:22
# author : unknown
# source_file : D010_get_data.py
# --------------------------------------------------
WATER_YEAR_START,203004_TIMEPEAK,203004_PEAK,203004_NVALID
1970-10-01,1971-02-19,1024.13342,365
1971-10-01,1972-02-14,891.76099,366
1972-10-01,1972-10-30,922.86017,359
1973-10-01,1974-01-28,1333.79395,365
1974-10-01,1975-03-04,1301.03552,365
1975-10-01,1976-02-12,1510.63843,366
1976-10-01,1977-03-12,269.39746,365
1977-10-01,1978-03-20,882.74799,364
1978-10-01,1979-01-25,444.40079,365
1979-10-01,1980-05-10,1212.36060,360
1980-10-01,1981-02-16,528.25336,360
1981-10-01,1982-03-16,389.75183,365
1982-10-01,1983-06-24,855.24274,365
1983-10-01,1984-04-11,786.97327,366
1984-10-01,1985-07-10,392.97052,324
1985-10-01,1985-10-28,63.86954,365
1986-10-01,1987-03-06,788.47650,365
1987-10-01,1988-04-05,1156.05396,366
1988-10-01,1989-04-03,1442.27698,352
1989-10-01,1990-02-04,1064.73206,362
1990-10-01,1991-02-09,449.51700,350
1991-10-01,1991-12-13,252.99701,366
1992-10-01,1993-07-15,52.37100,315
1993-10-01,1994-03-04,436.77200,324
1994-10-01,1995-02-17,218.27400,357
1995-10-01,1996-05-07,779.08002,359
1996-10-01,1997-02-16,209.48900,365
1997-10-01,1998-02-10,58.21100,365
1998-10-01,1999-03-04,517.38898,365
1999-10-01,1999-11-10,297.39301,366
2000-10-01,2001-02-02,1379.60400,319
2001-10-01,2001-11-27,79.11000,346
2002-10-01,2003-06-28,159.91000,346
2003-10-01,2004-03-07,669.50500,366
2004-10-01,2005-07-01,376.72101,365
2005-10-01,2006-03-06,451.74100,365
2006-10-01,2006-11-10,52.23700,365
2007-10-01,2008-01-05,1864.22400,366
2008-10-01,2009-05-22,1284.44104,365
2009-10-01,2010-03-03,474.63098,365
2010-10-01,2011-01-12,770.33417,365
2011-10-01,2012-01-26,654.75098,366
2012-10-01,2013-02-24,779.21301,365
2013-10-01,2014-03-29,285.54001,365
2014-10-01,2015-05-02,580.08899,365
2015-10-01,2016-08-25,325.19000,366
2016-10-01,2017-04-01,1053.19397,365
2017-10-01,2018-03-07,188.56300,365
2018-10-01,2018-10-17,152.72400,365
2019-10-01,2020-02-14,573.82800,366
2020-10-01,2021-03-24,663.50098,365
2021-10-01,2022-02-28,2137.67993,365
2022-10-01,2022-10-25,316.58643,358
