# --------------------------------------------------
# nrow : 903
# ncol : 11
# comment : RFF predictors
# time_generated : 2025-12-08 12:49:41
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper/scripts/data/D040_prepare_rff_predictors.py
# work_dir : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper
# python_environment posix
# python_version : 3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:48:41) [GCC 13.3.0]
# pandas_version : 2.3.3
# numpy_version : 1.26.4
# python_inc : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/lib/python3.12/site-packages
# --------------------------------------------------
STATIONID,PRECIPITATION_IFD_RATIO_AEP50%_2%[mm],CENTER_OZ_METRIC[-],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],ARIDITY_INDEX[-],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],LOG10_CATCHMENTAREA_VALID[km2][-],LOG10_DISTANCE_CENTROID_FROM_COAST[km][-],LOG10_PRECIPITATION_IFD_AEP2%[mm][-],LOG10_PRECIPITATION_IFD_AEP50%[mm][-]
613018,0.52500,-0.76068,0.82693,2.17130,0.80673,-3051417.25000,5676451.00000,1.38775,1.55882,1.13354,0.85370
613007,0.52519,-0.76025,0.91109,2.93863,0.84231,-3051321.00000,5672399.50000,1.13258,1.53228,1.13033,0.85065
613013,0.52519,-0.76018,0.79313,2.41421,0.86221,-3050437.00000,5672561.00000,1.09691,1.54274,1.13033,0.85065
613146,0.51591,-0.75917,1.13567,2.81850,0.78110,-3049802.00000,5663540.50000,1.23325,1.48966,1.12057,0.83315
614224,0.38750,-0.75901,0.82335,2.73810,0.45212,-2974345.25000,5733323.50000,3.59848,2.09477,1.07918,0.66745
613002,0.51905,-0.75856,0.95348,2.33483,0.67615,-3037316.50000,5669521.00000,2.16794,1.65019,1.10037,0.81558
614006,0.39833,-0.75785,0.85483,3.17931,0.41283,-2981419.00000,5715871.00000,3.82979,2.06528,1.07918,0.67943
614105,0.39018,-0.75763,0.82934,2.39239,0.27772,-2942848.25000,5750646.00000,3.11607,2.19960,1.04922,0.64048
612032,0.50000,-0.75643,0.76823,2.34469,0.53914,-3047625.50000,5639113.00000,2.70706,1.35955,1.10380,0.80277
612022,0.50397,-0.75552,0.89294,2.53849,0.69657,-3035206.50000,5642154.50000,2.06509,1.55056,1.10037,0.80277
612152,0.50551,-0.75527,0.77229,2.30916,0.65912,-3036993.75000,5638025.50000,2.35299,1.50965,1.10380,0.80754
612004,0.49680,-0.75404,0.64541,2.02335,0.69172,-3027194.25000,5635484.50000,1.50893,1.60990,1.09691,0.79309
614196,0.38699,-0.75380,1.06395,2.92116,0.41327,-2965034.50000,5693872.50000,3.14870,2.07909,1.08991,0.67761
612005,0.49219,-0.75332,0.40256,1.66910,0.64628,-3033822.25000,5621966.00000,1.10958,1.50143,1.10721,0.79934
612021,0.41500,-0.75301,0.47147,2.20852,0.43700,-2987351.75000,5664499.50000,1.68440,1.94484,1.07918,0.69723
612014,0.43565,-0.75280,0.83147,2.34514,0.46004,-2993945.25000,5656002.00000,2.56361,1.89747,1.06070,0.69984
611007,0.47820,-0.75277,1.50568,3.38880,0.53323,-3040854.00000,5609642.00000,2.16107,1.41902,1.12385,0.80346
611026,0.48615,-0.75230,1.12819,2.73424,0.57210,-3036323.50000,5609395.00000,2.03284,1.48758,1.11394,0.80072
612019,0.48468,-0.75109,0.35840,1.46822,0.63946,-3022896.50000,5610637.50000,1.57449,1.63919,1.09342,0.77887
612016,0.39512,-0.75071,0.71989,1.94866,0.39558,-2973829.75000,5655727.50000,1.22453,1.99021,1.08991,0.68664
610006,0.49489,-0.75067,0.59074,1.89707,0.63937,-3098576.50000,5531140.00000,1.91519,0.88325,1.13672,0.83123
611003,0.48130,-0.75053,1.08983,2.91665,0.59243,-3027308.75000,5600696.50000,3.03436,1.59248,1.08991,0.77232
612001,0.40917,-0.75044,0.56094,1.79596,0.45741,-2984123.75000,5642865.00000,3.12880,1.92515,1.07918,0.69108
610015,0.49559,-0.75018,1.32881,2.68546,0.63352,-3088659.75000,5535919.50000,2.20246,1.27014,1.13354,0.82866
612230,0.39180,-0.74984,0.47618,1.43996,0.39903,-2969813.25000,5651375.50000,2.23185,2.00109,1.08636,0.67943
610009,0.49225,-0.74975,1.18011,2.82032,0.52416,-3051252.75000,5568922.50000,2.31769,1.33799,1.11059,0.80277
611004,0.48595,-0.74968,0.99554,2.68684,0.54684,-3021159.00000,5598322.50000,2.90760,1.65593,1.08279,0.76938
610003,0.49338,-0.74931,1.03931,2.85038,0.58291,-3073220.75000,5542343.00000,1.67815,1.30244,1.13354,0.82672
611049,0.48305,-0.74920,0.68867,2.06182,0.65782,-3014944.00000,5599838.00000,2.77635,1.71171,1.07188,0.75587
612038,0.39917,-0.74904,0.69191,1.91574,0.40906,-2976338.50000,5636998.50000,2.89952,1.95702,1.07918,0.68034
610010,0.49262,-0.74893,1.40126,2.91006,0.52612,-3035302.75000,5576618.50000,2.59629,1.54655,1.08636,0.77887
610219,0.49748,-0.74838,0.76112,2.05073,0.61406,-3030542.75000,5575816.50000,2.49848,1.60209,1.07555,0.77232
610008,0.49624,-0.74827,1.05226,2.64102,0.64936,-3057653.00000,5547285.00000,1.19089,1.42065,1.12385,0.81954
611111,0.48376,-0.74820,0.63958,1.83082,0.58323,-3014409.75000,5590307.50000,2.00903,1.72081,1.06819,0.75282
609008,0.49841,-0.74819,0.58278,1.85979,0.61151,-3046870.75000,5557364.00000,1.44012,1.47146,1.10037,0.79796
610007,0.50165,-0.74809,0.65803,1.92085,0.57905,-3037952.75000,5565339.00000,0.97772,1.55050,1.08279,0.78319
610001,0.50000,-0.74809,1.15279,3.32402,0.66526,-3073437.25000,5529421.50000,2.64640,1.49353,1.11394,0.81291
609004,0.49922,-0.74799,0.64583,1.90362,0.62015,-3049883.00000,5552322.00000,1.41564,1.46887,1.10721,0.80550
612025,0.39580,-0.74753,0.81997,2.39485,0.40706,-2971807.25000,5626782.50000,2.23035,1.97265,1.07555,0.67302
609003,0.50081,-0.74696,0.79120,1.88847,0.64943,-3045586.25000,5546046.00000,2.20847,1.56247,1.09342,0.79309
609018,0.50000,-0.74674,0.52570,1.84306,0.63825,-3036802.25000,5552735.00000,2.74214,1.60949,1.07918,0.77815
609023,0.51120,-0.74663,0.89123,2.17097,0.71809,-3081030.50000,5506375.50000,1.65485,1.13497,1.09691,0.80550
609022,0.50887,-0.74660,0.62609,1.97355,0.76447,-3076239.00000,5511013.00000,2.25532,1.29635,1.09342,0.80003
609001,0.49921,-0.74621,0.85930,2.08375,0.61273,-3049943.75000,5533771.50000,1.95027,1.61614,1.10037,0.79865
609016,0.47182,-0.74371,0.66301,2.89266,0.71051,-2989356.50000,5570537.00000,2.24687,1.90929,1.04139,0.71517
608148,0.51468,-0.74079,0.80631,2.13164,0.83308,-3005185.75000,5523796.00000,2.20118,1.64895,1.03743,0.74896
608001,0.51468,-0.74079,0.83129,2.15219,0.77126,-3005205.00000,5523746.00000,2.20178,1.64843,1.03743,0.74896
608151,0.50485,-0.73955,1.09291,4.01204,0.73317,-2988636.00000,5528354.00000,2.89328,1.72750,1.01284,0.71600
608002,0.51944,-0.73708,0.89621,3.24812,0.96676,-2990711.50000,5500061.00000,1.48130,1.41616,1.03342,0.74896
607144,0.48776,-0.73691,0.79583,3.17804,0.64472,-2959020.75000,5532640.50000,2.66326,1.83192,0.99123,0.67943
607027,0.39658,-0.73677,0.69714,2.43322,0.41454,-2903061.25000,5591988.00000,2.36579,2.12723,1.06819,0.66652
607013,0.50777,-0.73673,0.77504,2.04743,0.85569,-2977699.75000,5510450.50000,2.39686,1.60524,1.01284,0.71850
607009,0.50777,-0.73668,0.83540,2.17089,0.83717,-2977543.50000,5510121.00000,2.40423,1.60256,1.01284,0.71850
607022,0.50777,-0.73630,0.83886,2.10299,0.76974,-2975271.75000,5508535.50000,2.53732,1.59526,1.01284,0.71850
607020,0.49696,-0.73599,0.73604,1.87771,0.70521,-2963758.50000,5517844.50000,2.00312,1.71993,0.99476,0.69108
607007,0.41304,-0.73586,0.90749,2.71348,0.43701,-2910953.50000,5574144.00000,2.99261,2.07815,1.06070,0.67669
608171,0.51182,-0.73575,1.09513,3.34934,0.93104,-2986631.75000,5490286.50000,1.79837,1.26147,1.04139,0.75051
609005,0.38839,-0.73565,0.84622,2.07868,0.36267,-2882207.00000,5603463.50000,1.91609,2.13453,1.04922,0.63849
609006,0.39279,-0.73538,0.80534,2.13892,0.34717,-2878386.25000,5605022.50000,1.12353,2.13467,1.04532,0.63949
607003,0.45500,-0.73527,0.75050,3.13698,0.51291,-2928612.25000,5548808.00000,3.45042,1.96933,1.00000,0.65801
607220,0.46917,-0.73509,1.09080,3.91050,0.59167,-2938331.50000,5536292.00000,3.59480,1.90188,0.98091,0.65225
607155,0.49352,-0.73250,0.78342,2.22434,0.91544,-2962829.50000,5481593.50000,2.07386,1.29864,1.03342,0.72673
607010,0.48182,-0.73230,0.50263,2.96688,0.67684,-2940281.00000,5504704.00000,0.46835,1.69659,0.99564,0.67852
605012,0.41698,-0.73049,1.39134,4.50128,0.51208,-2867707.50000,5567300.50000,3.65407,1.98834,1.02531,0.64542
606218,0.48318,-0.73019,0.54955,1.79997,0.80620,-2943078.50000,5478885.00000,2.59377,1.38443,1.02938,0.71349
606185,0.47822,-0.72989,0.95414,2.61121,0.80696,-2928132.25000,5492556.50000,2.61028,1.56741,1.00432,0.68395
606001,0.46743,-0.72850,0.89731,2.77236,0.72903,-2907544.75000,5501086.50000,2.67006,1.68212,0.98543,0.65514
606002,0.47124,-0.72830,0.93709,2.37198,0.74094,-2912288.00000,5493517.00000,1.38453,1.60105,0.99607,0.66932
606195,0.47347,-0.72753,0.86369,2.51193,0.81293,-2912089.75000,5485448.50000,2.39820,1.50476,0.99957,0.67486
604001,0.43802,-0.72615,0.98512,2.51727,0.48259,-2848364.75000,5544469.00000,3.02936,1.84114,0.98588,0.62737
602001,0.37524,-0.72538,0.83658,2.60274,0.30583,-2772501.00000,5625006.50000,3.59400,1.88765,1.02119,0.59550
604053,0.44296,-0.72493,0.92342,3.27676,0.67539,-2852091.00000,5527270.50000,3.25673,1.73563,0.98811,0.63448
603177,0.44546,-0.72407,0.82807,2.74621,0.57009,-2847128.00000,5524016.00000,1.87731,1.69490,0.99167,0.64048
603002,0.44835,-0.72258,0.83782,2.63434,0.67284,-2840787.25000,5515718.00000,2.64722,1.59816,0.99870,0.65031
603190,0.44456,-0.72224,0.60335,2.02461,0.58551,-2833424.00000,5520846.50000,1.75066,1.62720,0.99255,0.64048
603136,0.44653,-0.72224,0.82817,2.84745,0.68442,-2839558.75000,5513537.00000,2.70105,1.57059,1.00432,0.65418
603021,0.45248,-0.72146,0.94212,3.04298,0.67545,-2836013.50000,5509411.50000,2.82166,1.50965,1.00432,0.65992
603004,0.44216,-0.72035,0.68453,2.28198,0.61610,-2813459.00000,5524611.50000,3.08300,1.61480,1.00860,0.65418
603005,0.45146,-0.72032,0.84223,1.99852,0.69459,-2827365.25000,5507491.50000,1.71054,1.44292,1.01284,0.66745
