# --------------------------------------------------
# nrow : 903
# ncol : 11
# comment : RFF predictors
# time_generated : 2025-12-08 12:49:41
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper/scripts/data/D040_prepare_rff_predictors.py
# work_dir : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper
# python_environment posix
# python_version : 3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:48:41) [GCC 13.3.0]
# pandas_version : 2.3.3
# numpy_version : 1.26.4
# python_inc : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/lib/python3.12/site-packages
# --------------------------------------------------
STATIONID,PRECIPITATION_IFD_RATIO_AEP50%_2%[mm],CENTER_OZ_METRIC[-],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],ARIDITY_INDEX[-],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],LOG10_CATCHMENTAREA_VALID[km2][-],LOG10_DISTANCE_CENTROID_FROM_COAST[km][-],LOG10_PRECIPITATION_IFD_AEP2%[mm][-],LOG10_PRECIPITATION_IFD_AEP50%[mm][-]
235205,0.43603,-0.29973,0.55429,1.87969,1.76721,-331930.56250,5678664.00000,0.64640,1.15567,1.13354,0.77305
235224,0.44963,-0.29920,0.68311,2.81373,0.91854,-335069.21875,5688202.00000,3.01953,1.35709,0.97451,0.62737
235219,0.43404,-0.29864,0.77442,2.63056,1.27759,-323419.46875,5677818.00000,1.95424,1.18900,1.14922,0.78675
14213-1,0.51579,-0.29864,0.80549,2.88973,1.22887,-144184.75000,5433377.00000,2.50501,1.20010,1.05690,0.76938
234203,0.44816,-0.29863,0.61373,2.48423,0.70182,-344526.56250,5706774.50000,2.22011,1.57546,0.95279,0.60423
235204,0.42683,-0.29842,0.59476,2.64889,1.51978,-323288.18750,5679880.00000,1.04139,1.21476,1.21484,0.84510
236210,0.41786,-0.29841,0.88040,3.16358,0.50511,-396457.84375,5779612.00000,3.71240,1.92943,1.04922,0.67025
415217,0.42500,-0.29829,0.68339,2.08299,0.59895,-427128.81250,5822494.00000,1.49738,2.08375,1.10721,0.73560
235233,0.42357,-0.29777,1.01331,2.70132,1.13526,-314978.71875,5675073.50000,1.63347,0.83522,1.19590,0.82282
235209,0.42515,-0.29774,0.61548,2.25572,1.48570,-317830.65625,5679232.00000,1.32222,1.06771,1.21219,0.84073
450-1,0.55000,-0.29756,0.84844,2.43835,2.44355,-78344.28906,5356583.50000,2.50498,1.81615,1.06446,0.80482
14215-1,0.50781,-0.29719,1.02324,3.47735,1.34482,-126993.68750,5426809.50000,2.18184,1.22334,1.10721,0.81291
235227,0.44964,-0.29689,0.58118,2.41304,1.05403,-320365.75000,5691003.00000,2.49276,1.34924,0.99255,0.64542
236209,0.42736,-0.29667,0.82537,3.13767,0.51050,-382373.53125,5776679.50000,3.92195,1.93747,1.02531,0.65610
235202,0.42047,-0.29642,0.72470,1.94753,1.45408,-312647.00000,5685309.50000,1.72428,1.12406,1.23300,0.85673
14212-1,0.51493,-0.29622,1.17637,2.78466,1.43231,-108974.71094,5413810.00000,2.35199,1.28671,1.12710,0.83885
14207-1,0.53281,-0.29604,0.98215,3.65206,1.83463,-91221.10156,5392094.00000,2.69620,1.53965,1.10721,0.83378
235241,0.45000,-0.29585,0.38419,2.49644,1.03524,-318114.87500,5698208.00000,1.51851,1.43543,1.00860,0.66181
234209,0.47271,-0.29576,0.57800,2.47160,0.72680,-326369.03125,5710173.50000,1.69020,1.61738,0.93500,0.60959
415252,0.43273,-0.29547,0.74517,2.15002,0.49763,-412652.43750,5828281.50000,2.79796,2.10785,1.04139,0.67761
236202,0.43271,-0.29544,0.86573,2.77889,0.47745,-397664.71875,5808467.00000,3.12937,2.04879,1.02938,0.66558
233231,0.45321,-0.29525,0.94263,2.77826,1.06821,-319453.59375,5705854.50000,1.43136,1.52227,1.03743,0.69373
524-1,0.53926,-0.29519,1.44771,3.92058,1.85383,-80675.24219,5388072.50000,2.46326,1.54073,1.13033,0.86213
233228,0.45648,-0.29495,0.92077,3.17836,0.80583,-317411.81250,5706030.00000,1.59106,1.50009,1.03342,0.69285
14220-1,0.49462,-0.29493,1.08545,2.76455,1.11334,-108510.95312,5428104.00000,1.57295,0.78039,1.11394,0.80821
233214,0.42063,-0.29472,1.19430,3.23183,1.54188,-304843.90625,5691542.00000,1.23045,1.14619,1.20412,0.82802
16201-1,0.57448,-0.29399,0.50240,2.35851,2.36239,-48309.78516,5359260.50000,1.73663,1.79272,1.16137,0.92065
235216,0.41905,-0.29372,1.20738,3.10659,1.30366,-296700.31250,5690616.00000,1.57978,0.77989,1.22531,0.84757
415241,0.40000,-0.29352,0.79867,2.66500,0.31785,-445769.93750,5889192.00000,1.98051,2.26906,1.03743,0.63949
233257,0.42701,-0.29346,1.37786,3.43827,0.97555,-301007.03125,5698776.50000,1.28245,1.14814,1.13672,0.76716
14206-1,0.49416,-0.29300,0.91242,2.57022,1.13994,-87101.60156,5422112.50000,1.33176,0.72157,1.13672,0.83059
236216,0.44928,-0.29254,1.37838,4.61024,0.53185,-355269.00000,5778865.50000,3.45894,2.00425,0.98498,0.63749
233258,0.42292,-0.29221,0.93109,2.94039,0.85045,-296002.84375,5704343.50000,1.55180,1.07912,1.15836,0.78462
236219,0.44476,-0.29178,0.45650,1.70758,0.43932,-386457.15625,5826522.50000,2.41162,2.12214,1.02119,0.66932
16200-1,0.50522,-0.29140,1.12259,3.22538,0.98629,-60422.78125,5405714.50000,2.10721,1.20511,1.12710,0.83059
18221-1,0.50813,-0.29081,0.66162,2.20009,1.15218,-24654.21289,5366224.50000,1.46538,1.78105,1.08991,0.79588
415245,0.44286,-0.28956,1.00504,2.50357,0.51055,-374283.75000,5830371.50000,2.15836,2.14595,1.02119,0.66745
18209-1,0.50569,-0.28947,0.87679,3.28962,0.94174,-12720.50488,5366637.50000,2.19436,1.80430,1.08991,0.79379
17200-1,0.51681,-0.28921,1.02724,2.52967,0.88472,-34546.47266,5397723.00000,2.41891,1.44089,1.05308,0.76641
415244,0.44628,-0.28871,0.78200,2.69080,0.53174,-369537.93750,5831777.50000,0.77815,2.15453,1.08279,0.73239
234201,0.44412,-0.28861,0.69871,2.59175,0.56258,-324444.21875,5774987.50000,3.06371,1.91709,1.00860,0.65610
415206,0.43119,-0.28811,0.73436,2.41368,0.46749,-379738.40625,5850010.00000,3.13258,2.19558,1.03743,0.67210
234200,0.44579,-0.28718,0.91730,3.04863,0.59237,-325461.90625,5789380.50000,2.51055,1.94685,1.02938,0.67852
415207,0.43519,-0.28696,0.42812,1.85006,0.54580,-365346.71875,5841744.00000,2.48287,2.17445,1.03342,0.67210
236203,0.44906,-0.28663,0.78649,2.73702,0.55852,-336470.15625,5808169.50000,3.09726,2.02885,1.02531,0.67761
233223,0.44366,-0.28642,0.79168,2.41090,0.48052,-303489.50000,5768522.00000,1.75587,1.78322,0.99739,0.64444
18312-1,0.51866,-0.28623,0.59080,2.55817,0.52978,51279.03906,5323968.50000,3.30836,1.60310,0.90526,0.62014
18217-1,0.50588,-0.28490,0.70030,3.34290,0.63377,67550.53125,5319594.00000,2.58752,1.36656,1.00860,0.71265
236215,0.43981,-0.28342,0.79811,2.96161,0.53921,-316254.03125,5811482.00000,2.22011,1.96379,1.03342,0.67669
116-1,0.53200,-0.28243,0.60405,2.02947,1.13947,18069.84766,5409765.00000,1.73255,1.54435,1.09691,0.82282
19204-1,0.52500,-0.28218,1.01385,3.08722,0.87088,11573.35840,5420569.50000,2.48031,1.36600,1.01703,0.73719
232213,0.44091,-0.28190,0.62159,2.26086,0.64222,-296438.34375,5800658.50000,2.19590,1.84412,1.04139,0.68574
407214,0.43925,-0.28168,0.77791,2.50231,0.60776,-310825.31250,5820162.00000,2.48855,1.97144,1.02938,0.67210
232214,0.43704,-0.28100,0.60035,2.12299,0.56978,-289043.06250,5799615.00000,1.11394,1.80410,1.03342,0.67394
407222,0.43578,-0.28083,0.69077,2.32536,0.55769,-307928.00000,5824058.50000,2.80072,1.97388,1.03743,0.67669
232215,0.43670,-0.28071,1.11182,3.59802,0.58775,-287056.87500,5799838.00000,0.77815,1.79547,1.03743,0.67761
181-1,0.48872,-0.28063,0.78103,3.68422,0.75460,62315.47656,5376542.00000,3.53038,1.66058,1.12385,0.81291
232223,0.44174,-0.28040,0.55787,2.10109,0.67285,-294498.15625,5811556.00000,0.44716,1.87976,1.06070,0.70586
18311-1,0.46953,-0.28010,0.78882,3.03219,0.74038,80126.52344,5361068.50000,2.72217,1.42111,1.10721,0.77887
232235,0.44211,-0.28002,0.61334,2.39984,0.70092,-291748.71875,5811626.00000,0.90736,1.86862,1.05690,0.70243
232236,0.44224,-0.27956,0.44364,1.84571,0.75861,-290300.50000,5813922.00000,1.06819,1.87241,1.06446,0.71012
19200-1,0.54455,-0.27925,1.43398,4.25671,0.94106,32843.93750,5427883.00000,2.14176,1.25433,1.00432,0.74036
19224-1,0.54393,-0.27921,0.73824,2.67357,1.16440,40152.23047,5419554.50000,1.81291,1.44017,1.02938,0.76492
407239,0.42455,-0.27882,1.09776,3.69028,0.49507,-305044.43750,5838059.00000,2.13447,2.01025,1.04139,0.66932
19201-1,0.54510,-0.27845,0.86918,2.67567,1.06818,44284.82812,5423182.00000,2.28217,1.40958,1.00860,0.74507
231225,0.43846,-0.27824,1.13599,3.22080,0.71136,-279284.81250,5812280.00000,2.02524,1.82044,1.06819,0.71012
407221,0.43140,-0.27704,1.06977,2.70136,0.71172,-286754.84375,5831682.00000,2.22011,1.93585,1.08279,0.71767
191-1,0.46237,-0.27657,0.49970,1.94895,1.02667,95915.04688,5383186.00000,2.26998,1.10701,1.28780,0.95279
231211,0.43419,-0.27605,1.12944,3.20469,0.71974,-265726.37500,5815420.00000,2.36922,1.78218,1.06819,0.70586
231213,0.43445,-0.27598,0.44481,2.20040,0.79275,-268124.87500,5818878.50000,2.18469,1.81056,1.07555,0.71349
406250,0.43858,-0.27504,0.79352,2.47971,0.84474,-269259.62500,5828363.50000,1.89209,1.85782,1.10380,0.74586
19209-1,0.52542,-0.27493,0.90423,2.85280,0.95624,62271.73047,5441347.00000,2.04689,1.28926,1.07188,0.79239
407217,0.41393,-0.27491,0.67470,2.81346,0.63587,-278226.96875,5840015.00000,2.47567,1.93813,1.08636,0.70329
407215,0.40087,-0.27454,0.40550,2.08278,0.54093,-283463.96875,5849306.00000,3.03663,1.98743,1.06070,0.66370
19202-1,0.51944,-0.27448,0.84821,2.70893,0.86072,58410.22656,5450789.00000,2.07426,1.02642,1.03342,0.74896
231231,0.41743,-0.27440,1.18654,3.07458,0.40357,-242207.59375,5802384.00000,1.97772,1.53998,1.03743,0.65801
230226,0.43333,-0.27289,0.66194,1.84255,0.54801,-249794.48438,5824390.00000,0.95424,1.75538,1.08991,0.72673
230204,0.43008,-0.27198,0.85917,2.31306,0.66894,-243506.67188,5825041.50000,1.89763,1.73545,1.08991,0.72346
406266,0.43902,-0.27197,0.57545,2.56982,0.59638,-248789.78125,5831152.00000,1.81021,1.79430,1.08991,0.73239
406213,0.42975,-0.27078,0.95734,3.19494,0.64238,-252482.12500,5845601.00000,2.79865,1.88515,1.08279,0.71600
230217,0.44545,-0.27061,0.63078,2.17950,0.70794,-241983.56250,5835076.50000,1.20412,1.79796,1.08279,0.73159
230211,0.43415,-0.27053,0.86867,2.54910,0.62789,-235379.43750,5828218.50000,1.96848,1.73225,1.08991,0.72754
227231,0.46923,-0.27012,1.01138,3.26981,0.87221,-140106.79688,5723629.00000,2.36736,1.37871,1.06819,0.73957
227236,0.46293,-0.27005,0.56782,1.89134,0.78776,-131289.01562,5714264.00000,2.35793,1.24142,1.06446,0.72997
230205,0.42764,-0.26936,0.93123,4.03169,0.57485,-228342.92188,5830381.50000,2.93702,1.73330,1.08991,0.72099
230232,0.44407,-0.26922,0.96796,3.59605,0.61506,-235435.15625,5839553.00000,2.49831,1.81135,1.07188,0.71933
227219,0.46121,-0.26858,0.77757,2.66228,0.87850,-130753.38281,5727390.50000,1.71600,1.48487,1.06446,0.72835
228217,0.48707,-0.26807,1.04863,2.98544,0.89846,-161686.96875,5766699.00000,1.58969,1.50278,1.06446,0.75205
228208,0.46140,-0.26726,1.14866,3.05836,0.88159,-130344.05469,5739075.00000,2.48144,1.62448,1.05690,0.72099
405238,0.44359,-0.26691,0.74674,2.65555,0.60576,-231931.51562,5855287.50000,2.21219,1.89892,1.06819,0.71517
227227,0.45965,-0.26671,0.51798,2.27513,0.92803,-118712.59375,5731183.00000,2.02531,1.57047,1.05690,0.71933
227202,0.45283,-0.26648,0.46665,2.17498,0.82200,-107859.97656,5721249.00000,3.02816,1.53316,1.02531,0.68124
227244,0.42803,-0.26621,0.63453,2.11599,0.95679,-91812.85156,5705993.00000,1.13508,1.12662,1.12057,0.75205
229677,0.48833,-0.26616,0.57243,2.07904,0.94241,-155310.10938,5776793.50000,2.06693,1.61786,1.07918,0.76790
229218,0.47895,-0.26602,0.69654,3.08324,0.67306,-180354.67188,5805666.50000,1.55630,1.59102,1.05690,0.73719
405240,0.44530,-0.26560,0.82122,2.94419,0.54978,-221135.70312,5854362.00000,2.78462,1.88513,1.06819,0.71684
227237,0.41643,-0.26519,0.50848,2.86513,0.86243,-84226.83594,5707185.50000,1.87506,1.06379,1.14613,0.76567
227226,0.43083,-0.26499,0.52823,2.53767,0.86610,-90727.00000,5716193.50000,2.10380,1.34852,1.07918,0.71349
405212,0.44609,-0.26465,1.15967,2.73398,0.60239,-203858.62500,5843376.00000,2.52763,1.81442,1.06070,0.71012
228212,0.48083,-0.26441,0.65242,2.09525,0.85200,-139360.10938,5774856.00000,2.24055,1.74493,1.07918,0.76118
226209,0.46330,-0.26438,0.26137,1.58875,0.80817,-116401.47656,5749958.00000,2.33041,1.74541,1.03743,0.70329
227211,0.40612,-0.26432,0.84534,3.16710,0.97130,-78508.67188,5709050.50000,1.82607,1.10940,1.16732,0.77597
405231,0.47917,-0.26377,0.56903,1.67059,0.87390,-186025.46875,5831373.50000,2.25768,1.76156,1.07918,0.75967
229214,0.49764,-0.26339,0.84609,2.46866,1.07448,-142185.60938,5786934.00000,2.14613,1.76134,1.10380,0.80072
226407,0.41678,-0.26337,0.74025,2.12734,0.89764,-81138.06250,5720753.00000,2.05690,1.39008,1.15534,0.77525
226218,0.45339,-0.26336,0.45683,2.07541,0.85930,-99958.80469,5741279.00000,1.81954,1.69023,1.07188,0.72835
226021,0.45133,-0.26260,1.11319,3.43684,0.74235,-95690.39062,5743575.00000,2.09715,1.69659,1.05308,0.70757
405217,0.49565,-0.26226,0.48152,2.09078,0.85635,-170716.14062,5827710.00000,2.55630,1.79356,1.06070,0.75587
227213,0.39091,-0.26176,0.84381,2.56967,0.89827,-66581.85938,5719862.50000,1.53148,1.42397,1.24551,0.83759
227225,0.39153,-0.26111,0.66083,2.16265,1.07249,-64661.31250,5723868.00000,1.20412,1.49117,1.24797,0.84073
405205,0.50758,-0.26081,0.78241,3.11768,1.12949,-156820.09375,5825236.50000,2.03342,1.84182,1.12057,0.82607
226204,0.46803,-0.26069,1.06135,3.00966,1.05777,-115995.99219,5782593.00000,2.76343,1.90414,1.08636,0.75664
226217,0.47231,-0.26064,0.77196,2.47629,1.10379,-118894.34375,5786145.50000,2.64345,1.89577,1.11394,0.78817
226205,0.47500,-0.26064,0.48021,1.80545,1.11604,-120345.53125,5787762.00000,2.55392,1.89164,1.09342,0.77012
226410,0.39704,-0.26045,0.75010,2.34075,1.02684,-66088.45312,5731436.00000,1.94939,1.57350,1.22789,0.82672
226415,0.40541,-0.26006,0.90991,2.55898,0.86576,-65283.60156,5734162.50000,2.10721,1.60525,1.17026,0.77815
226220,0.47317,-0.25990,0.56946,1.81726,1.11659,-117612.71094,5791312.00000,2.02531,1.91289,1.08991,0.76492
227200,0.39067,-0.25988,0.56998,2.12603,0.73408,-53644.19531,5723420.00000,2.33244,1.42556,1.17609,0.76790
226023,0.40775,-0.25965,1.14010,2.97010,0.84195,-65153.53906,5737766.50000,2.24658,1.64110,1.15229,0.76268
227220,0.39018,-0.25953,0.81121,2.38725,1.06703,-54008.08594,5727058.00000,1.39794,1.47824,1.21219,0.80346
227205,0.38820,-0.25940,0.83992,2.38550,1.02468,-57170.33203,5731633.50000,1.55630,1.54977,1.25042,0.83948
405209,0.51220,-0.25896,0.71353,2.24678,1.05941,-143769.57812,5827299.00000,2.79169,1.90656,1.08991,0.79934
227210,0.38909,-0.25858,0.74938,2.99859,1.01212,-49665.25391,5731177.00000,1.25527,1.46406,1.21748,0.80754
226226,0.43939,-0.25844,0.69064,2.69532,1.00808,-100438.90625,5786009.00000,2.46090,1.96396,1.12057,0.76343
226006,0.41739,-0.25781,0.93332,3.39224,0.93565,-85204.59375,5775554.50000,2.46687,1.90036,1.13988,0.76042
227243,0.39097,-0.25775,0.58224,2.14559,0.69927,-44559.66797,5733455.00000,2.09342,1.42209,1.15836,0.75051
226007,0.41769,-0.25766,0.82983,3.13424,0.90363,-87317.76562,5779148.00000,2.31597,1.92035,1.16732,0.78817
226008,0.42372,-0.25759,0.49574,2.84913,0.95891,-90462.20312,5783027.50000,1.90309,1.94167,1.19312,0.82020
226235,0.42547,-0.25741,0.50465,2.61878,0.89498,-88491.60156,5782581.50000,2.12123,1.93838,1.20683,0.83569
407283,0.40636,-0.25739,0.86122,2.75064,0.24607,-298816.87500,6003115.00000,1.82302,2.38026,1.04139,0.65031
227239,0.39669,-0.25709,0.95763,3.29257,0.82369,-46818.03906,5741798.50000,2.40824,1.52379,1.17898,0.77743
225105,0.45935,-0.25694,0.66304,2.28962,1.42344,-98810.16406,5797475.00000,1.20412,2.00661,1.19033,0.85248
405228,0.48818,-0.25687,0.60903,2.75452,0.61657,-175225.62500,5877949.50000,2.67302,2.02195,1.04139,0.72997
405264,0.48750,-0.25638,0.32529,2.01906,1.23702,-115928.42188,5820269.50000,2.52244,1.99016,1.10721,0.79518
225114,0.45035,-0.25619,0.49956,2.35313,1.26631,-98624.50781,5803873.00000,2.19117,2.01830,1.15534,0.80889
227240,0.38493,-0.25595,1.17653,3.90534,0.63047,-36866.36328,5741891.00000,2.72346,1.41089,1.16435,0.74974
405227,0.48640,-0.25558,0.60066,2.49974,1.16057,-115541.76562,5826736.50000,2.79169,2.00878,1.09691,0.78390
405274,0.48482,-0.25475,0.58966,1.80956,0.64672,-156104.92188,5875625.00000,2.27184,2.04382,1.04922,0.73480
225213,0.41497,-0.25374,0.75593,2.52330,0.92194,-77441.31250,5803339.00000,2.49276,1.98598,1.16732,0.78533
225230,0.38282,-0.25341,0.84340,3.10154,0.92324,-64052.22656,5792554.00000,2.14301,1.90122,1.21219,0.79518
405263,0.45420,-0.25260,0.61700,2.22928,1.04582,-89041.88281,5825095.50000,2.51455,2.07885,1.11727,0.77452
405219,0.45887,-0.25255,0.82550,2.69867,1.02376,-93919.06250,5830487.50000,2.84136,2.08498,1.09342,0.75511
405237,0.49134,-0.25149,0.77493,3.29763,0.64066,-151057.95312,5897159.50000,2.52114,2.12097,1.10380,0.79518
405251,0.49048,-0.25107,0.54738,1.96821,0.65724,-140270.85938,5889709.50000,2.08279,2.11622,1.10037,0.79099
405234,0.48984,-0.25068,0.73931,2.68130,0.77553,-144725.07812,5897356.00000,2.18469,2.13081,1.10721,0.79727
405294,0.48538,-0.24929,0.92975,2.53105,0.86801,-144796.57812,5908699.00000,1.36173,2.16207,1.11394,0.80003
405218,0.48661,-0.24916,0.96254,3.38435,0.97518,-85714.72656,5850962.50000,2.56585,2.12856,1.10380,0.79099
405245,0.48644,-0.24913,0.71466,2.29495,0.70487,-110796.72656,5876154.50000,2.06070,2.13994,1.07188,0.75891
225224,0.40516,-0.24890,0.60571,2.51097,0.65875,-43965.48828,5811719.00000,2.74351,1.88746,1.19033,0.79796
225221,0.43203,-0.24884,0.81865,2.73679,0.87677,-64298.19922,5832366.50000,3.18808,2.02567,1.10721,0.74273
404208,0.48295,-0.24866,0.95769,2.28870,0.76254,-130681.90625,5899780.50000,1.95904,2.15925,1.11059,0.79449
225209,0.44385,-0.24819,0.61899,2.15753,0.90060,-64207.91797,5837807.00000,3.09096,2.04029,1.11394,0.76118
405214,0.50696,-0.24803,0.85741,2.72965,0.80389,-96512.75781,5871111.50000,2.56585,2.16134,1.06070,0.76567
405247,0.44634,-0.24793,0.73474,2.34918,0.52073,-147036.14062,5921812.50000,2.53020,2.19378,1.08991,0.73957
225201,0.37784,-0.24784,0.77518,2.68172,0.58703,-31771.62500,5808768.00000,3.17173,1.82095,1.22272,0.80003
405215,0.50081,-0.24779,0.92895,3.20253,0.91190,-85732.91406,5862501.00000,2.56585,2.15332,1.09342,0.79309
225219,0.47687,-0.24711,0.79028,2.38109,0.94451,-63797.24219,5846543.00000,2.75587,2.06250,1.12710,0.80550
225223,0.38968,-0.24661,0.92276,2.86153,0.72127,-30785.86523,5818443.50000,2.29003,1.85875,1.19033,0.78104
225218,0.38987,-0.24603,0.82408,3.01001,0.63682,-20344.98633,5813273.00000,2.48996,1.78678,1.19866,0.78958
404235,0.52652,-0.24561,0.69638,2.80870,0.88957,-105100.76562,5899343.00000,1.59395,2.20156,1.12057,0.84198
404207,0.50530,-0.24503,0.93113,2.95154,0.73701,-110353.01562,5909185.50000,2.65418,2.21369,1.12057,0.82413
403227,0.52143,-0.24476,0.89340,3.04904,1.01890,-83462.96875,5885278.00000,2.65610,2.19529,1.10037,0.81757
403240,0.52677,-0.24393,1.15094,3.40109,0.82131,-84228.24219,5892865.00000,2.83506,2.21173,1.10380,0.82543
403213,0.51729,-0.24380,1.10454,3.03050,0.83185,-100696.33594,5909749.50000,2.35984,2.23019,1.12385,0.83759
224206,0.46462,-0.24376,0.69394,2.63972,0.98030,-43298.00391,5854880.50000,3.03981,2.02988,1.11394,0.78104
403223,0.51385,-0.24287,1.08472,3.27411,0.87340,-85613.60156,5902812.50000,3.04689,2.23313,1.11394,0.82478
403217,0.52031,-0.24276,0.89516,3.04473,1.13652,-75777.71094,5894278.50000,2.24626,2.19902,1.10721,0.82347
224201,0.47744,-0.24249,0.67536,2.69472,0.95009,-35230.07422,5857781.00000,3.29645,2.01688,1.12385,0.80277
403226,0.51053,-0.24248,1.30016,3.17193,0.79557,-94858.53125,5914745.50000,2.03342,2.24909,1.12385,0.83187
403254,0.52016,-0.24183,0.61712,1.89837,0.97785,-63957.73047,5890628.50000,2.95545,2.16908,1.11059,0.82672
403222,0.51270,-0.24159,0.60798,1.86112,1.02994,-56133.25391,5885141.00000,2.62839,2.14097,1.10037,0.81023
224203,0.45865,-0.24146,0.81591,3.21477,0.86741,-18834.33203,5850887.50000,3.59140,1.94519,1.12385,0.78533
224215,0.43721,-0.24134,0.65923,2.88750,0.87685,-22009.33203,5854913.00000,3.53529,1.96975,1.11059,0.75128
224207,0.47619,-0.24048,0.74362,2.27065,0.96752,-25882.25586,5865750.00000,2.86688,2.01794,1.10037,0.77815
403200,0.52403,-0.23910,0.75951,2.07880,0.89242,-65408.37109,5914098.00000,3.71079,2.22176,1.11059,0.82995
403224,0.52131,-0.23901,1.31293,2.96021,0.75559,-77185.08594,5925796.00000,2.19866,2.26268,1.08636,0.80346
224213,0.48140,-0.23895,1.14303,3.86527,0.99202,-10634.72168,5864216.50000,2.82995,1.97374,1.11059,0.79309
403241,0.52891,-0.23894,0.86686,2.31184,0.81632,-70376.20312,5920019.00000,3.79511,2.24144,1.10721,0.83059
224214,0.44320,-0.23891,0.64928,2.65867,0.68059,6109.05273,5848931.50000,2.64640,1.85877,1.09691,0.74351
223210,0.44429,-0.23883,0.98717,3.34162,0.58259,26800.98047,5830343.50000,2.67302,1.66174,1.14613,0.79379
223204,0.44044,-0.23850,0.73321,2.67985,0.64646,23927.10547,5835803.00000,2.45788,1.71652,1.13354,0.77743
403233,0.53150,-0.23831,0.90265,2.69025,1.16039,-43406.72656,5899986.00000,2.63849,2.15281,1.10380,0.82930
403244,0.52632,-0.23723,0.60533,1.71795,1.34346,-28469.69727,5895007.00000,2.06784,2.11284,1.12385,0.84510
403210,0.53828,-0.23693,0.97876,2.54426,1.07872,-40046.76172,5908051.00000,3.09342,2.16707,1.10721,0.83822
403216,0.53740,-0.23676,1.27403,3.81087,1.22419,-56856.44141,5924962.00000,1.81720,2.23131,1.11727,0.84757
403232,0.53386,-0.23672,0.83975,2.01869,1.18463,-36554.81250,5906536.50000,2.08991,2.15758,1.10380,0.83123
223215,0.44961,-0.23672,1.04963,2.99259,0.70200,29813.76758,5845487.00000,2.25527,1.76437,1.10380,0.75664
401226,0.49843,-0.23629,0.64470,2.43565,1.14529,-353.77734,5876836.00000,2.25527,1.99880,1.10380,0.80140
403205,0.53893,-0.23611,0.65459,2.14347,1.23839,-31511.73242,5906853.50000,2.69461,2.15014,1.11727,0.84880
403214,0.52063,-0.23440,0.59036,2.17586,0.86373,-46346.94531,5934101.00000,2.13033,2.23620,1.10037,0.81690
401203,0.50726,-0.23428,0.42828,1.98876,1.17627,5816.06445,5887809.50000,3.18554,2.02790,1.09342,0.79865
223209,0.45814,-0.23411,0.88237,3.40242,0.68703,43533.04297,5855059.50000,3.44420,1.78924,1.11059,0.77159
223205,0.45827,-0.23392,0.74892,3.12411,0.67724,43506.82031,5856694.50000,3.42830,1.80007,1.10380,0.76492
402206,0.53125,-0.23346,0.74391,2.36249,0.98388,-35326.34766,5931571.00000,2.10037,2.21616,1.10721,0.83251
403221,0.50086,-0.23305,0.59477,2.10414,0.70091,-66097.04688,5962560.00000,2.33041,2.31569,1.06446,0.76418
401216,0.52057,-0.23267,0.55361,2.51028,1.55587,326.18839,5905873.00000,2.55145,2.09799,1.14922,0.86570
223202,0.46083,-0.23228,0.49542,2.26962,0.78201,36205.11719,5877014.00000,2.97451,1.92751,1.07918,0.74273
402217,0.52602,-0.23204,0.81006,2.35059,1.03984,-46690.23828,5953008.50000,1.38021,2.27591,1.08991,0.81090
223212,0.47049,-0.23196,0.81396,3.28718,0.74666,57817.89453,5860318.50000,2.64147,1.78663,1.08636,0.75891
402204,0.51322,-0.23196,0.51716,2.00014,0.87893,-51342.27344,5957768.50000,2.40654,2.29044,1.08279,0.79309
223207,0.47603,-0.23120,0.74793,2.87983,0.86273,56001.30078,5868339.50000,2.31175,1.84120,1.08279,0.76042
223208,0.47570,-0.23063,0.54100,2.24580,0.74490,42757.85547,5884818.00000,2.71850,1.95087,1.02938,0.70672
401210,0.52720,-0.23012,0.60371,2.03675,1.23768,559.04999,5926276.00000,2.60959,2.15775,1.09691,0.81889
222206,0.47719,-0.22904,1.36916,4.07256,0.86838,65801.16406,5877712.50000,2.91487,1.87890,1.05690,0.73560
223213,0.48364,-0.22875,0.49341,1.88323,0.97550,46817.69141,5896685.50000,1.98227,1.99638,1.04139,0.72591
223214,0.48673,-0.22815,0.30745,1.59024,1.01636,49093.28125,5899632.50000,1.50515,2.00549,1.05308,0.74036
222217,0.46027,-0.22776,0.68703,2.77044,0.74519,101549.44531,5857235.00000,2.65031,1.70606,1.16435,0.82737
222202,0.45093,-0.22703,0.59523,2.39358,0.83917,115631.93750,5851206.00000,2.81823,1.64378,1.20683,0.86094
401217,0.50085,-0.22578,0.73127,2.53703,0.94665,39432.12500,5927249.00000,2.58995,2.11566,1.06819,0.76790
221212,0.43486,-0.22517,0.66516,2.17714,0.81150,138075.85938,5847778.50000,2.86034,1.57181,1.24304,0.88138
