# --------------------------------------------------,,,,,,,,,,,,
# nrow : 111,,,,,,,,,,,,
# ncol : 12,,,,,,,,,,,,
# comment : AMS of AWRA cookies,,,,,,,,,,,,
# time_generated : 2026-07-03 10:51:05,,,,,,,,,,,,
# author : ler015,,,,,,,,,,,,
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py,,,,,,,,,,,,
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts,,,,,,,,,,,,
# python_environment posix,,,,,,,,,,,,
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0],,,,,,,,,
# pandas_version : 3.0.3,,,,,,,,,,,,
# numpy_version : 2.5.0,,,,,,,,,,,,
# python_inc : /home/ler015/miniconda3/include/python3.12,,,,,,,,,,,,
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages,,,,,,,,,,,,
# --------------------------------------------------,,,,,,,,,,,,
WATER_YEAR_START,WILSONSRIVER_PRECIPITATION_TIMEPEAK,WILSONSRIVER_PRECIPITATION_PEAK,WILSONSRIVER_PRECIPITATION_NVALID,WILSONSRIVER_PRECIPITATION_DAYOFYEAR,WILSONSRIVER_QTOT_TIMEPEAK,WILSONSRIVER_QTOT_PEAK,WILSONSRIVER_QTOT_NVALID,WILSONSRIVER_QTOT_DAYOFYEAR,WILSONSRIVER_SMPFULL_TIMEPEAK,WILSONSRIVER_SMPFULL_PEAK,WILSONSRIVER_SMPFULL_NVALID,WILSONSRIVER_SMPFULL_DAYOFYEAR
1984-10-01,9/07/1985 9:00,122.45477,364,281,1984-11-01,24.44998,364,31,9/07/1985 9:00,0.78733,364,281
1985-10-01,27/10/1985 9:00,86.29867,364,26,1985-10-27,2.58306,364,26,12/05/1986 9:00,0.58231,364,223
1986-10-01,5/03/1987 9:00,173.10938,364,155,1987-05-11,77.1631,364,222,5/03/1987 9:00,0.82451,364,155
1987-10-01,15/09/1988 9:00,139.82898,365,350,1988-04-07,61.23495,365,189,4/04/1988 9:00,0.81102,365,186
1988-10-01,2/04/1989 9:00,223.6846,364,183,1989-04-02,75.73727,364,183,2/04/1989 9:00,0.82779,364,183
1989-10-01,3/02/1990 9:00,135.43755,364,125,1990-04-06,33.7302,364,187,28/05/1990 9:00,0.80609,364,239
1990-10-01,8/02/1991 9:00,82.31181,364,130,1991-03-13,7.47947,364,163,10/06/1991 9:00,0.68781,364,252
1991-10-01,13/12/1991 9:00,131.25105,365,73,1992-03-17,14.27936,365,168,13/12/1991 9:00,0.79174,365,73
1992-10-01,7/02/1993 9:00,47.27014,364,129,1993-07-14,6.90244,364,286,14/07/1993 9:00,0.67622,364,286
1993-10-01,1/03/1994 9:00,65.74249,364,151,1994-03-04,30.52832,364,154,3/03/1994 9:00,0.7923,364,153
1994-10-01,16/02/1995 9:00,124.13348,364,138,1995-02-16,35.24875,364,138,16/02/1995 9:00,0.80677,364,138
1995-10-01,3/05/1996 9:00,113.01921,365,215,1996-05-07,48.68397,365,219,3/05/1996 9:00,0.81322,365,215
1996-10-01,31/07/1997 9:00,46.08504,364,303,1997-02-19,5.5225,364,141,28/02/1997 9:00,0.69346,364,150
