# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:06
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203002_PRECIPITATION_TIMEPEAK,203002_PRECIPITATION_PEAK,203002_PRECIPITATION_NVALID,203002_PRECIPITATION_DAYOFYEAR,203002_QTOT_TIMEPEAK,203002_QTOT_PEAK,203002_QTOT_NVALID,203002_QTOT_DAYOFYEAR,203002_SMPFULL_TIMEPEAK,203002_SMPFULL_PEAK,203002_SMPFULL_NVALID,203002_SMPFULL_DAYOFYEAR
1911-10-01,1912-03-02 09:00:00,93.15247,365,153,1912-06-25 09:00:00,23.00610,365,268,1912-06-25 09:00:00,0.80193,365,268
1912-10-01,1913-06-22 09:00:00,115.50847,364,264,1913-04-11 09:00:00,32.12294,364,192,1913-06-22 09:00:00,0.81480,364,264
1913-10-01,1914-05-09 09:00:00,71.06316,364,220,1914-07-22 09:00:00,23.05510,364,294,1914-07-22 09:00:00,0.79700,364,294
1914-10-01,1915-02-10 09:00:00,63.96907,364,132,1914-10-17 09:00:00,10.02052,364,16,1914-10-17 09:00:00,0.75482,364,16
1915-10-01,1916-02-27 09:00:00,121.10696,365,149,1916-04-10 09:00:00,44.54652,365,192,1916-04-10 09:00:00,0.81017,365,192
1916-10-01,1917-02-04 09:00:00,107.56596,364,126,1917-02-05 09:00:00,27.19122,364,127,1917-02-04 09:00:00,0.80587,364,126
1917-10-01,1917-11-09 09:00:00,202.21136,364,39,1917-11-09 09:00:00,58.25219,364,39,1917-11-09 09:00:00,0.83141,364,39
1918-10-01,1919-05-29 09:00:00,195.92230,364,240,1919-05-30 09:00:00,55.30277,364,241,1919-05-29 09:00:00,0.83349,364,240
1919-10-01,1920-01-07 09:00:00,79.60651,365,98,1920-01-09 09:00:00,25.21424,365,100,1920-01-08 09:00:00,0.80087,365,99
1920-10-01,1921-07-23 09:00:00,235.96628,364,295,1921-07-23 09:00:00,65.35796,364,295,1921-07-23 09:00:00,0.83602,364,295
1921-10-01,1921-12-28 09:00:00,160.94644,364,88,1921-12-29 09:00:00,29.25518,364,89,1921-12-28 09:00:00,0.80904,364,88
1922-10-01,1923-04-28 09:00:00,96.64127,364,209,1923-04-28 09:00:00,33.50941,364,209,1923-04-28 09:00:00,0.81394,364,209
