# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:09
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203012_PRECIPITATION_TIMEPEAK,203012_PRECIPITATION_PEAK,203012_PRECIPITATION_NVALID,203012_PRECIPITATION_DAYOFYEAR,203012_QTOT_TIMEPEAK,203012_QTOT_PEAK,203012_QTOT_NVALID,203012_QTOT_DAYOFYEAR,203012_SMPFULL_TIMEPEAK,203012_SMPFULL_PEAK,203012_SMPFULL_NVALID,203012_SMPFULL_DAYOFYEAR
1911-10-01,1912-03-02 09:00:00,83.48222,365,153,1912-06-25 09:00:00,22.06641,365,268,1912-06-25 09:00:00,0.81558,365,268
1912-10-01,1913-06-22 09:00:00,103.73689,364,264,1913-07-29 09:00:00,26.04755,364,301,1913-06-22 09:00:00,0.82844,364,264
1913-10-01,1914-05-09 09:00:00,72.10274,364,220,1914-07-22 09:00:00,29.69843,364,294,1914-07-22 09:00:00,0.81872,364,294
1914-10-01,1914-10-17 09:00:00,54.84319,364,16,1914-10-19 09:00:00,11.15581,364,18,1914-10-17 09:00:00,0.78217,364,16
1915-10-01,1916-02-27 09:00:00,95.11518,365,149,1916-04-10 09:00:00,34.52543,365,192,1916-04-08 09:00:00,0.82316,365,190
1916-10-01,1917-02-04 09:00:00,83.45518,364,126,1917-02-05 09:00:00,22.99853,364,127,1917-02-04 09:00:00,0.79729,364,126
1917-10-01,1917-11-09 09:00:00,179.90051,364,39,1917-11-09 09:00:00,63.62814,364,39,1917-11-09 09:00:00,0.84172,364,39
1918-10-01,1919-05-29 09:00:00,145.21588,364,240,1919-05-30 09:00:00,56.75511,364,241,1919-05-29 09:00:00,0.84163,364,240
1919-10-01,1920-01-07 09:00:00,64.10289,365,98,1920-01-22 09:00:00,22.08846,365,113,1920-01-21 09:00:00,0.80564,365,112
1920-10-01,1921-05-15 09:00:00,221.70355,364,226,1921-05-16 09:00:00,95.72831,364,227,1921-05-15 09:00:00,0.84217,364,226
