# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:07
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203004_PRECIPITATION_TIMEPEAK,203004_PRECIPITATION_PEAK,203004_PRECIPITATION_NVALID,203004_PRECIPITATION_DAYOFYEAR,203004_QTOT_TIMEPEAK,203004_QTOT_PEAK,203004_QTOT_NVALID,203004_QTOT_DAYOFYEAR,203004_SMPFULL_TIMEPEAK,203004_SMPFULL_PEAK,203004_SMPFULL_NVALID,203004_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,72.56216,365,268,1912-06-25 09:00:00,16.31017,365,268,1912-06-25 09:00:00,0.73051,365,268
1912-10-01,1913-06-22 09:00:00,72.65200,364,264,1913-04-11 09:00:00,11.88836,364,192,1913-06-22 09:00:00,0.75759,364,264
1913-10-01,1914-02-20 09:00:00,54.66400,364,142,1914-03-29 09:00:00,4.42718,364,179,1914-03-29 09:00:00,0.68963,364,179
1914-10-01,1914-10-17 09:00:00,30.76838,364,16,1914-10-17 09:00:00,0.69663,364,16,1914-10-17 09:00:00,0.53391,364,16
1915-10-01,1916-04-10 09:00:00,78.96752,365,192,1916-04-10 09:00:00,30.58348,365,192,1916-04-10 09:00:00,0.79028,365,192
1916-10-01,1917-02-04 09:00:00,78.69274,364,126,1917-02-05 09:00:00,18.64269,364,127,1917-02-05 09:00:00,0.75470,364,127
1917-10-01,1917-11-09 09:00:00,75.71334,364,39,1917-11-09 09:00:00,13.63385,364,39,1917-11-09 09:00:00,0.73865,364,39
1918-10-01,1919-05-29 09:00:00,73.91658,364,240,1919-05-30 09:00:00,22.20818,364,241,1919-05-29 09:00:00,0.76597,364,240
1919-10-01,1920-03-03 09:00:00,40.58855,365,154,1920-01-22 09:00:00,5.49225,365,113,1920-01-22 09:00:00,0.70795,365,113
1920-10-01,1921-07-23 09:00:00,138.66374,364,295,1921-07-23 09:00:00,32.77274,364,295,1921-07-23 09:00:00,0.81241,364,295
1921-10-01,1921-12-28 09:00:00,138.81073,364,88,1921-12-29 09:00:00,22.10264,364,89,1921-12-28 09:00:00,0.79451,364,88
1922-10-01,1923-06-05 09:00:00,32.63136,364,247,1923-04-28 09:00:00,6.22955,364,209,1923-04-28 09:00:00,0.70682,364,209
1923-10-01,1924-06-13 09:00:00,71.02658,365,256,1924-06-14 09:00:00,9.35898,365,257,1924-07-09 09:00:00,0.70429,365,282
1924-10-01,1925-03-11 09:00:00,72.89536,364,161,1925-03-12 09:00:00,34.28591,364,162,1925-03-12 09:00:00,0.79108,364,162
1925-10-01,1925-11-08 09:00:00,33.61374,364,38,1925-11-10 09:00:00,1.26090,364,40,1926-01-06 09:00:00,0.54675,364,97
1926-10-01,1927-01-23 09:00:00,53.95637,364,114,1927-01-27 09:00:00,25.40484,364,118,1927-01-24 09:00:00,0.78073,364,115
1927-10-01,1928-02-17 09:00:00,85.46582,365,139,1928-02-20 09:00:00,38.47758,365,142,1928-02-20 09:00:00,0.78314,365,142
1928-10-01,1929-03-01 09:00:00,120.73117,364,151,1929-03-02 09:00:00,25.25891,364,152,1929-03-01 09:00:00,0.78626,364,151
1929-10-01,1930-05-10 09:00:00,87.17816,364,221,1930-05-10 09:00:00,20.70110,364,221,1930-06-01 09:00:00,0.78891,364,243
1930-10-01,1931-02-06 09:00:00,123.29874,364,128,1931-02-07 09:00:00,33.75157,364,129,1931-02-06 09:00:00,0.81041,364,128
1931-10-01,1931-12-09 09:00:00,46.80920,365,69,1931-12-09 09:00:00,7.84332,365,69,1931-12-09 09:00:00,0.72578,365,69
1932-10-01,1933-04-05 09:00:00,59.87061,364,186,1933-04-06 09:00:00,7.76022,364,187,1933-07-26 09:00:00,0.68215,364,298
1933-10-01,1934-01-04 09:00:00,68.18456,364,95,1934-01-04 09:00:00,15.77018,364,95,1934-05-09 09:00:00,0.75365,364,220
1934-10-01,1935-07-09 09:00:00,35.93612,364,281,1935-07-11 09:00:00,2.53664,364,283,1935-03-13 09:00:00,0.59227,364,163
1935-10-01,1936-03-03 09:00:00,70.28111,365,154,1936-03-24 09:00:00,5.63956,365,175,1936-03-24 09:00:00,0.69030,365,175
1936-10-01,1937-03-17 09:00:00,87.23132,364,167,1937-03-17 09:00:00,34.21030,364,167,1937-03-17 09:00:00,0.80080,364,167
1937-10-01,1938-01-20 09:00:00,123.69395,364,111,1938-01-20 09:00:00,32.10617,364,111,1938-01-20 09:00:00,0.80084,364,111
1938-10-01,1939-03-06 09:00:00,69.23390,364,156,1939-03-15 09:00:00,18.61633,364,165,1939-03-15 09:00:00,0.77907,364,165
1939-10-01,1940-03-19 09:00:00,72.88914,365,170,1940-03-19 09:00:00,12.95420,365,170,1940-03-19 09:00:00,0.73520,365,170
1940-10-01,1941-05-30 09:00:00,42.30625,364,241,1941-02-12 09:00:00,8.13003,364,134,1941-02-12 09:00:00,0.68465,364,134
1941-10-01,1942-02-10 09:00:00,97.33003,364,132,1942-02-10 09:00:00,22.23264,364,132,1942-02-10 09:00:00,0.80380,364,132
1942-10-01,1942-10-11 09:00:00,58.31398,364,10,1942-12-31 09:00:00,11.66292,364,91,1943-01-06 09:00:00,0.69683,364,97
1943-10-01,1943-12-30 09:00:00,70.10020,365,90,1943-12-31 09:00:00,24.26974,365,91,1943-12-31 09:00:00,0.77623,365,91
1944-10-01,1945-06-11 09:00:00,136.40787,364,253,1945-06-12 09:00:00,50.78247,364,254,1945-06-11 09:00:00,0.81049,364,253
1945-10-01,1946-01-23 09:00:00,80.56661,364,114,1946-03-25 09:00:00,25.41486,364,175,1946-03-25 09:00:00,0.79161,364,175
1946-10-01,1947-01-24 09:00:00,136.06595,364,115,1947-01-26 09:00:00,24.45407,364,117,1947-01-25 09:00:00,0.78581,364,116
1947-10-01,1948-06-16 09:00:00,115.73818,365,259,1948-06-16 09:00:00,51.53657,365,259,1948-06-16 09:00:00,0.81227,365,259
1948-10-01,1949-03-03 09:00:00,47.98251,364,153,1949-03-28 09:00:00,16.36368,364,178,1949-03-28 09:00:00,0.76514,364,178
1949-10-01,1950-06-23 09:00:00,113.16570,364,265,1950-06-24 09:00:00,42.67809,364,266,1950-06-23 09:00:00,0.80370,364,265
1950-10-01,1951-01-26 09:00:00,102.82877,364,117,1951-01-27 09:00:00,36.92425,364,118,1951-01-26 09:00:00,0.79779,364,117
1951-10-01,1952-03-22 09:00:00,42.41486,365,173,1952-06-15 09:00:00,5.59450,365,258,1952-03-23 09:00:00,0.63747,365,174
1952-10-01,1953-03-24 09:00:00,75.53625,364,174,1953-03-24 09:00:00,27.32831,364,174,1953-03-24 09:00:00,0.79281,364,174
1953-10-01,1954-02-21 09:00:00,216.26707,364,143,1954-02-21 09:00:00,82.81910,364,143,1954-02-21 09:00:00,0.82899,364,143
1954-10-01,1955-03-28 09:00:00,153.55031,364,178,1955-03-28 09:00:00,33.50574,364,178,1955-04-30 09:00:00,0.79236,364,211
1955-10-01,1956-02-18 09:00:00,133.60718,365,140,1956-02-19 09:00:00,36.11132,365,141,1956-02-18 09:00:00,0.80816,365,140
1956-10-01,1956-12-22 09:00:00,98.30505,364,82,1956-12-22 09:00:00,3.69861,364,82,1957-08-28 09:00:00,0.56798,364,331
1957-10-01,1958-06-11 09:00:00,55.87850,364,253,1958-06-11 09:00:00,13.04283,364,253,1958-06-11 09:00:00,0.69804,364,253
1958-10-01,1959-02-18 09:00:00,99.26533,364,140,1959-02-18 09:00:00,32.87252,364,140,1959-02-18 09:00:00,0.80443,364,140
1959-10-01,1959-11-13 09:00:00,51.94302,365,43,1959-11-14 09:00:00,16.63708,365,44,1959-11-14 09:00:00,0.74749,365,44
1960-10-01,1961-02-19 09:00:00,107.48514,364,141,1961-02-20 09:00:00,5.78761,364,142,1961-02-19 09:00:00,0.70996,364,141
1961-10-01,1962-07-11 09:00:00,129.39838,364,283,1962-07-11 09:00:00,33.41190,364,283,1962-07-11 09:00:00,0.80767,364,283
1962-10-01,1962-12-24 09:00:00,44.85209,364,84,1963-05-08 09:00:00,38.39064,364,219,1963-05-08 09:00:00,0.81262,364,219
1963-10-01,,,365,-1,1964-03-09 09:00:00,12.63664,365,160,1964-03-09 09:00:00,0.72511,365,160
1964-10-01,1965-07-20 09:00:00,189.65176,364,292,1965-07-21 09:00:00,41.45891,364,293,1965-07-21 09:00:00,0.80511,364,293
1965-10-01,1966-06-11 09:00:00,65.00594,364,253,1965-12-16 09:00:00,4.82760,364,76,1965-12-16 09:00:00,0.70550,364,76
1966-10-01,1967-06-12 09:00:00,117.23177,364,254,1967-06-13 09:00:00,43.42828,364,255,1967-06-12 09:00:00,0.80667,364,254
1967-10-01,1968-01-13 09:00:00,68.21308,365,104,1968-01-13 09:00:00,9.82743,365,104,1968-01-13 09:00:00,0.74584,365,104
1968-10-01,1969-05-15 09:00:00,52.74496,364,226,1969-05-15 09:00:00,1.39052,364,226,1969-05-29 09:00:00,0.60586,364,240
1969-10-01,1969-12-24 09:00:00,55.80919,364,84,1970-02-27 09:00:00,6.03779,364,149,1970-02-27 09:00:00,0.65990,364,149
1970-10-01,1971-02-18 09:00:00,87.85469,364,140,1971-02-19 09:00:00,20.10486,364,141,1971-02-18 09:00:00,0.78451,364,140
1971-10-01,1972-04-03 09:00:00,57.25881,365,185,1972-02-13 09:00:00,19.29955,365,135,1972-02-13 09:00:00,0.77192,365,135
1972-10-01,1973-07-07 09:00:00,70.36940,364,279,1972-10-29 09:00:00,20.10039,364,28,1972-10-29 09:00:00,0.78452,364,28
1973-10-01,1974-03-10 09:00:00,99.90482,364,160,1974-03-13 09:00:00,34.10677,364,163,1974-03-13 09:00:00,0.78774,364,163
1974-10-01,1975-02-25 09:00:00,92.36148,364,147,1975-03-03 09:00:00,35.62560,364,153,1975-03-03 09:00:00,0.80189,364,153
1975-10-01,1976-02-11 09:00:00,176.14932,365,133,1976-02-11 09:00:00,35.30554,365,133,1976-02-11 09:00:00,0.80880,365,133
1976-10-01,1977-02-22 09:00:00,55.76023,364,144,1977-03-12 09:00:00,4.60119,364,162,1977-03-12 09:00:00,0.69839,364,162
1977-10-01,1978-03-18 09:00:00,105.94714,364,168,1978-03-19 09:00:00,27.74488,364,169,1978-03-19 09:00:00,0.79913,364,169
1978-10-01,1979-06-21 09:00:00,72.63301,364,263,1979-01-24 09:00:00,10.85230,364,115,1979-02-10 09:00:00,0.74193,364,132
1979-10-01,1980-05-09 09:00:00,153.72495,365,221,1980-05-10 09:00:00,47.03474,365,222,1980-05-09 09:00:00,0.81730,365,221
1980-10-01,1981-02-15 09:00:00,73.28127,364,137,1981-02-15 09:00:00,12.51068,364,137,1981-02-15 09:00:00,0.76369,364,137
1981-10-01,1982-01-21 09:00:00,42.61538,364,112,1982-01-21 09:00:00,10.59377,364,112,1982-01-21 09:00:00,0.71061,364,112
1982-10-01,1983-05-02 09:00:00,71.97209,364,213,1983-06-23 09:00:00,26.59377,364,265,1983-06-23 09:00:00,0.79284,364,265
1983-10-01,1984-04-09 09:00:00,132.19058,365,191,1984-04-09 09:00:00,26.89974,365,191,1984-04-09 09:00:00,0.78531,365,191
1984-10-01,1985-07-09 09:00:00,54.87111,364,281,1985-06-04 09:00:00,3.91601,364,246,1985-06-04 09:00:00,0.65773,364,246
1985-10-01,1985-10-27 09:00:00,63.21982,364,26,1985-10-27 09:00:00,1.28274,364,26,1986-05-12 09:00:00,0.43138,364,223
1986-10-01,1987-03-05 09:00:00,133.15527,364,155,1987-03-06 09:00:00,27.85768,364,156,1987-03-06 09:00:00,0.77673,364,156
1987-10-01,1988-04-04 09:00:00,108.77848,365,186,1988-04-06 09:00:00,45.07394,365,188,1988-04-04 09:00:00,0.80305,365,186
1988-10-01,1989-04-02 09:00:00,181.75244,364,183,1989-04-02 09:00:00,54.40466,364,183,1989-04-02 09:00:00,0.81694,364,183
1989-10-01,1990-02-03 09:00:00,114.01470,364,125,1990-02-03 09:00:00,28.17387,364,125,1990-02-03 09:00:00,0.78989,364,125
1990-10-01,1991-02-08 09:00:00,100.84763,364,130,1991-02-08 09:00:00,15.30092,364,130,1991-02-09 09:00:00,0.64769,364,131
1991-10-01,1991-12-13 09:00:00,82.69245,365,73,1992-04-04 09:00:00,8.27484,365,186,1991-12-13 09:00:00,0.72175,365,73
1992-10-01,1992-11-18 09:00:00,47.04436,364,48,1993-03-19 09:00:00,1.59355,364,169,1993-03-20 09:00:00,0.55921,364,170
1993-10-01,1994-03-01 09:00:00,65.48943,364,151,1994-03-04 09:00:00,8.80921,364,154,1994-03-29 09:00:00,0.74880,364,179
1994-10-01,1995-02-15 09:00:00,48.08940,364,137,1995-02-16 09:00:00,12.41224,364,138,1995-02-20 09:00:00,0.74297,364,142
1995-10-01,1996-05-03 09:00:00,77.00880,365,215,1996-05-07 09:00:00,32.23889,365,219,1996-05-07 09:00:00,0.78569,365,219
1996-10-01,1997-02-15 09:00:00,68.31566,364,137,1997-02-17 09:00:00,11.80915,364,139,1997-02-17 09:00:00,0.71607,364,139
1997-10-01,1998-02-10 09:00:00,50.32714,364,132,1998-02-11 09:00:00,2.16262,364,133,1998-02-11 09:00:00,0.58168,364,133
1998-10-01,1999-04-11 09:00:00,49.57338,364,192,1999-03-04 09:00:00,16.45396,364,154,1999-03-04 09:00:00,0.77107,364,154
1999-10-01,1999-11-09 09:00:00,43.05221,365,39,1999-11-09 09:00:00,9.01198,365,39,1999-11-09 09:00:00,0.68835,365,39
2000-10-01,2001-02-02 09:00:00,175.92482,364,124,2001-02-03 09:00:00,44.83963,364,125,2001-02-02 09:00:00,0.82064,364,124
2001-10-01,2001-11-27 09:00:00,38.84391,364,57,2001-11-28 09:00:00,1.00217,364,58,2001-11-28 09:00:00,0.60127,364,58
2002-10-01,2003-02-24 09:00:00,37.35852,364,146,2003-06-27 09:00:00,3.91948,364,269,2003-03-14 09:00:00,0.65791,364,164
2003-10-01,2004-03-06 09:00:00,106.94324,365,157,2004-03-06 09:00:00,20.21639,365,157,2004-03-06 09:00:00,0.80104,365,157
2004-10-01,2005-06-30 09:00:00,108.36772,364,272,2005-06-30 09:00:00,11.71627,364,272,2005-06-30 09:00:00,0.70553,364,272
2005-10-01,2006-01-09 09:00:00,70.98697,364,100,2006-03-06 09:00:00,14.47929,364,156,2006-01-21 09:00:00,0.75202,364,112
2006-10-01,2006-12-04 09:00:00,35.76379,364,64,2006-11-10 09:00:00,1.69831,364,40,2006-11-10 09:00:00,0.56832,364,40
2007-10-01,2008-01-05 09:00:00,170.03645,365,96,2008-01-05 09:00:00,58.95129,365,96,2008-01-05 09:00:00,0.82280,365,96
2008-10-01,2009-05-21 09:00:00,100.32168,364,232,2009-05-22 09:00:00,33.01405,364,233,2009-05-22 09:00:00,0.79237,364,233
2009-10-01,2009-12-30 09:00:00,63.07455,364,90,2010-03-03 09:00:00,15.80207,364,153,2010-03-03 09:00:00,0.74633,364,153
2010-10-01,2010-12-28 09:00:00,71.94476,364,88,2011-01-11 09:00:00,28.97991,364,102,2011-01-10 09:00:00,0.78381,364,101
2011-10-01,2012-01-25 09:00:00,86.09058,365,116,2012-01-26 09:00:00,19.01426,365,117,2012-01-29 09:00:00,0.75517,365,120
2012-10-01,2013-01-28 09:00:00,141.54401,364,119,2013-02-23 09:00:00,30.44045,364,145,2013-01-28 09:00:00,0.80052,364,119
2013-10-01,2014-03-28 09:00:00,117.29377,364,178,2014-03-28 09:00:00,9.66212,364,178,2014-03-28 09:00:00,0.77630,364,178
2014-10-01,2015-05-02 09:00:00,110.94215,364,213,2015-05-02 09:00:00,18.94424,364,213,2015-05-02 09:00:00,0.76786,364,213
2015-10-01,2016-06-05 09:00:00,76.44623,365,248,2016-08-25 09:00:00,8.54627,365,329,2016-06-20 09:00:00,0.85355,365,263
2016-10-01,2017-03-31 09:00:00,211.59073,364,181,2017-03-31 09:00:00,63.46422,364,181,2017-03-31 09:00:00,0.98181,364,181
2017-10-01,2017-10-15 09:00:00,63.40411,364,14,2018-03-07 09:00:00,12.19743,364,157,2018-03-07 09:00:00,0.87660,364,157
2018-10-01,2019-03-16 09:00:00,44.11553,364,166,2018-10-16 09:00:00,1.07917,364,15,2018-10-19 09:00:00,0.65536,364,18
2019-10-01,2020-02-14 09:00:00,77.44196,365,136,2020-02-14 09:00:00,35.51535,365,136,2020-02-14 09:00:00,0.94980,365,136
