# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:10
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203014_PRECIPITATION_TIMEPEAK,203014_PRECIPITATION_PEAK,203014_PRECIPITATION_NVALID,203014_PRECIPITATION_DAYOFYEAR,203014_QTOT_TIMEPEAK,203014_QTOT_PEAK,203014_QTOT_NVALID,203014_QTOT_DAYOFYEAR,203014_SMPFULL_TIMEPEAK,203014_SMPFULL_PEAK,203014_SMPFULL_NVALID,203014_SMPFULL_DAYOFYEAR
1911-10-01,1912-03-02 09:00:00,80.74665,365,153,1912-06-25 09:00:00,20.92377,365,268,1912-06-25 09:00:00,0.80524,365,268
1912-10-01,1913-06-22 09:00:00,103.49383,364,264,1913-06-22 09:00:00,22.26704,364,264,1913-06-22 09:00:00,0.82597,364,264
1913-10-01,1914-05-09 09:00:00,70.66272,364,220,1914-07-22 09:00:00,28.56792,364,294,1914-07-22 09:00:00,0.81853,364,294
1914-10-01,1914-10-17 09:00:00,55.74871,364,16,1914-10-17 09:00:00,10.28043,364,16,1914-10-17 09:00:00,0.76704,364,16
1915-10-01,1916-02-27 09:00:00,95.59410,365,149,1916-04-10 09:00:00,37.26270,365,192,1916-04-08 09:00:00,0.82352,365,190
1916-10-01,1917-02-04 09:00:00,83.67686,364,126,1917-02-05 09:00:00,21.06759,364,127,1917-02-04 09:00:00,0.78870,364,126
1917-10-01,1917-11-09 09:00:00,186.15283,364,39,1917-11-09 09:00:00,59.59817,364,39,1917-11-09 09:00:00,0.84085,364,39
1918-10-01,1919-05-29 09:00:00,160.09167,364,240,1919-05-30 09:00:00,57.51174,364,241,1919-05-29 09:00:00,0.84229,364,240
1919-10-01,1920-01-07 09:00:00,69.18447,365,98,1920-01-22 09:00:00,20.16265,365,113,1920-01-21 09:00:00,0.80375,365,112
1920-10-01,1921-05-15 09:00:00,200.02541,364,226,1921-05-16 09:00:00,87.60693,364,227,1921-07-23 09:00:00,0.84446,364,295
1921-10-01,1921-12-28 09:00:00,127.51031,364,88,1922-07-25 09:00:00,28.78111,364,297,1922-07-24 09:00:00,0.81881,364,296
1922-10-01,1923-04-28 09:00:00,96.89423,364,209,1923-04-28 09:00:00,34.61651,364,209,1923-04-28 09:00:00,0.82894,364,209
1923-10-01,1924-06-13 09:00:00,168.71970,365,256,1924-06-13 09:00:00,53.71014,365,256,1924-06-13 09:00:00,0.84049,365,256
1924-10-01,1925-03-09 09:00:00,85.49432,364,159,1925-03-12 09:00:00,46.64468,364,162,1925-03-09 09:00:00,0.82486,364,159
1925-10-01,1926-03-16 09:00:00,94.81190,364,166,1925-11-10 09:00:00,26.59819,364,40,1926-06-24 09:00:00,0.81555,364,266
1926-10-01,1927-01-24 09:00:00,98.61241,364,115,1927-01-24 09:00:00,45.99051,364,115,1927-01-24 09:00:00,0.83108,364,115
1927-10-01,1927-11-29 09:00:00,128.18767,365,59,1927-12-01 09:00:00,44.41512,365,61,1927-11-29 09:00:00,0.82949,365,59
1928-10-01,1929-03-01 09:00:00,161.65250,364,151,1929-06-30 09:00:00,55.37197,364,272,1929-06-30 09:00:00,0.84272,364,272
1929-10-01,1929-10-12 09:00:00,115.60619,364,11,1930-06-01 09:00:00,31.57769,364,243,1930-06-01 09:00:00,0.83251,364,243
1930-10-01,1931-02-06 09:00:00,233.36052,364,128,1931-02-06 09:00:00,76.44135,364,128,1931-02-06 09:00:00,0.84692,364,128
1931-10-01,1931-12-09 09:00:00,62.64719,365,69,1931-12-10 09:00:00,23.78733,365,70,1931-12-09 09:00:00,0.81045,365,69
1932-10-01,1933-04-04 09:00:00,121.25902,364,185,1933-04-05 09:00:00,44.49727,364,186,1933-04-05 09:00:00,0.83406,364,186
1933-10-01,1934-05-09 09:00:00,141.97430,364,220,1934-05-09 09:00:00,62.33031,364,220,1934-05-09 09:00:00,0.84128,364,220
1934-10-01,1935-01-15 09:00:00,90.44160,364,106,1935-01-15 09:00:00,15.39641,364,106,1935-05-27 09:00:00,0.79315,364,238
1935-10-01,1936-05-23 09:00:00,56.82171,365,235,1936-05-25 09:00:00,17.95631,365,237,1936-05-25 09:00:00,0.78308,365,237
1936-10-01,1937-02-11 09:00:00,129.35419,364,133,1937-03-10 09:00:00,36.58174,364,160,1937-03-10 09:00:00,0.82882,364,160
