# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:05
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RIVER_PRECIPITATION_TIMEPEAK,RIVER_PRECIPITATION_PEAK,RIVER_PRECIPITATION_NVALID,RIVER_PRECIPITATION_DAYOFYEAR,RIVER_QTOT_TIMEPEAK,RIVER_QTOT_PEAK,RIVER_QTOT_NVALID,RIVER_QTOT_DAYOFYEAR,RIVER_SMPFULL_TIMEPEAK,RIVER_SMPFULL_PEAK,RIVER_SMPFULL_NVALID,RIVER_SMPFULL_DAYOFYEAR
1946-10-01,1947-01-24 09:00:00,140.41156,364,115,1947-01-26 09:00:00,22.77030,364,117,1947-01-26 09:00:00,0.78459,364,117
1947-10-01,1948-06-16 09:00:00,182.39279,365,259,1948-06-16 09:00:00,68.68193,365,259,1948-06-16 09:00:00,0.82718,365,259
1948-10-01,1949-01-10 09:00:00,77.62888,364,101,1949-03-28 09:00:00,29.69874,364,178,1949-03-27 09:00:00,0.78952,364,177
1949-10-01,1949-10-25 09:00:00,128.48459,364,24,1950-06-24 09:00:00,46.27861,364,266,1950-06-23 09:00:00,0.80097,364,265
1950-10-01,1951-01-26 09:00:00,102.50034,364,117,1951-01-27 09:00:00,34.50829,364,118,1951-03-19 09:00:00,0.79104,364,169
1951-10-01,1952-02-25 09:00:00,61.45383,365,147,1952-06-16 09:00:00,8.33045,365,259,1952-08-15 09:00:00,0.69938,365,319
1952-10-01,1953-01-23 09:00:00,122.49946,364,114,1953-02-22 09:00:00,51.38253,364,144,1953-02-20 09:00:00,0.80502,364,142
1953-10-01,1954-02-21 09:00:00,239.19643,364,143,1954-02-21 09:00:00,92.57323,364,143,1954-02-21 09:00:00,0.83270,364,143
1954-10-01,1955-01-22 09:00:00,147.53969,364,113,1955-05-01 09:00:00,37.29772,364,212,1955-04-30 09:00:00,0.80013,364,211
1955-10-01,1956-02-18 09:00:00,177.58260,365,140,1956-02-19 09:00:00,45.60019,365,141,1956-02-18 09:00:00,0.82137,365,140
1956-10-01,1956-12-22 09:00:00,83.70230,364,82,1957-08-28 09:00:00,6.14712,364,331,1957-01-21 09:00:00,0.67859,364,112
1957-10-01,1958-04-11 09:00:00,75.31265,364,192,1958-08-07 09:00:00,19.87219,364,310,1958-08-06 09:00:00,0.77547,364,309
1958-10-01,1959-01-22 09:00:00,135.12146,364,113,1959-02-18 09:00:00,36.63244,364,140,1959-02-18 09:00:00,0.80978,364,140
1959-10-01,1959-11-12 09:00:00,76.77122,365,42,1959-11-13 09:00:00,29.02979,365,43,1959-11-13 09:00:00,0.77482,365,43
1960-10-01,1961-02-19 09:00:00,136.02261,364,141,1961-02-20 09:00:00,24.10302,364,142,1961-02-19 09:00:00,0.77151,364,141
1961-10-01,1962-07-10 09:00:00,198.35989,364,282,1962-07-11 09:00:00,75.50982,364,283,1962-07-11 09:00:00,0.81854,364,283
1962-10-01,1962-12-24 09:00:00,79.20373,364,84,1963-05-08 09:00:00,86.65117,364,219,1963-05-08 09:00:00,0.83069,364,219
1963-10-01,,,365,-1,1964-03-27 09:00:00,19.72294,365,178,1964-03-27 09:00:00,0.78554,365,178
1964-10-01,1965-07-20 09:00:00,221.62932,364,292,1965-07-21 09:00:00,60.61050,364,293,1965-07-20 09:00:00,0.82872,364,292
1965-10-01,1966-06-11 09:00:00,123.94331,364,253,1966-06-11 09:00:00,21.74504,364,253,1966-06-11 09:00:00,0.76879,364,253
1966-10-01,1967-03-19 09:00:00,104.47151,364,169,1967-03-19 09:00:00,49.82626,364,169,1967-03-19 09:00:00,0.81031,364,169
1967-10-01,1968-08-14 09:00:00,72.32919,365,318,1968-01-13 09:00:00,22.75521,365,104,1968-01-13 09:00:00,0.77576,365,104
1968-10-01,1969-05-13 09:00:00,53.63394,364,224,1969-05-15 09:00:00,9.44352,364,226,1969-05-15 09:00:00,0.69896,364,226
1969-10-01,1970-03-31 09:00:00,56.94325,364,181,1970-02-22 09:00:00,8.31481,364,144,1970-02-27 09:00:00,0.66775,364,149
1970-10-01,1970-12-09 09:00:00,94.86803,364,69,1970-12-10 09:00:00,22.14925,364,70,1970-12-10 09:00:00,0.79665,364,70
1971-10-01,1972-04-03 09:00:00,107.89547,365,185,1972-02-13 09:00:00,36.83892,365,135,1972-02-13 09:00:00,0.80696,365,135
1972-10-01,1972-10-28 09:00:00,124.02464,364,27,1972-10-29 09:00:00,49.68483,364,28,1972-10-28 09:00:00,0.80971,364,27
1973-10-01,1974-03-11 09:00:00,204.24878,364,161,1974-03-11 09:00:00,83.16187,364,161,1974-03-11 09:00:00,0.82836,364,161
1974-10-01,1975-03-02 09:00:00,140.32445,364,152,1975-03-03 09:00:00,65.43670,364,153,1975-03-03 09:00:00,0.81977,364,153
1975-10-01,1976-02-11 09:00:00,147.40231,365,133,1976-02-29 09:00:00,49.12130,365,151,1976-02-29 09:00:00,0.80248,365,151
1976-10-01,1977-03-03 09:00:00,105.59537,364,153,1977-05-19 09:00:00,22.71683,364,230,1977-03-03 09:00:00,0.78839,364,153
1977-10-01,1978-03-18 09:00:00,138.13605,364,168,1978-03-19 09:00:00,62.26583,364,169,1978-03-19 09:00:00,0.81643,364,169
