# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:08
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203005_PRECIPITATION_TIMEPEAK,203005_PRECIPITATION_PEAK,203005_PRECIPITATION_NVALID,203005_PRECIPITATION_DAYOFYEAR,203005_QTOT_TIMEPEAK,203005_QTOT_PEAK,203005_QTOT_NVALID,203005_QTOT_DAYOFYEAR,203005_SMPFULL_TIMEPEAK,203005_SMPFULL_PEAK,203005_SMPFULL_NVALID,203005_SMPFULL_DAYOFYEAR
1911-10-01,1912-06-25 09:00:00,88.49567,365,268,1912-06-25 09:00:00,21.99336,365,268,1912-06-25 09:00:00,0.77931,365,268
1912-10-01,1913-06-22 09:00:00,80.70974,364,264,1913-04-11 09:00:00,13.69575,364,192,1913-06-22 09:00:00,0.76389,364,264
1913-10-01,1914-02-20 09:00:00,68.98852,364,142,1914-03-29 09:00:00,6.98564,364,179,1914-03-29 09:00:00,0.73544,364,179
1914-10-01,1915-02-10 09:00:00,37.20530,364,132,1915-02-10 09:00:00,0.98284,364,132,1915-01-07 09:00:00,0.57127,364,98
1915-10-01,1916-04-10 09:00:00,89.30679,365,192,1916-04-10 09:00:00,31.61381,365,192,1916-04-10 09:00:00,0.78899,365,192
1916-10-01,1917-02-04 09:00:00,82.17116,364,126,1917-02-05 09:00:00,19.41874,364,127,1917-02-04 09:00:00,0.76002,364,126
1917-10-01,1917-11-09 09:00:00,59.24476,364,39,1917-12-13 09:00:00,7.47260,364,73,1917-12-13 09:00:00,0.70225,364,73
1918-10-01,1919-05-29 09:00:00,72.09741,364,240,1919-05-30 09:00:00,19.82216,364,241,1919-05-29 09:00:00,0.75597,364,240
1919-10-01,1920-06-13 09:00:00,44.00084,365,256,1920-01-22 09:00:00,9.14068,365,113,1920-01-22 09:00:00,0.74515,365,113
1920-10-01,1921-07-23 09:00:00,127.54453,364,295,1921-07-23 09:00:00,31.19982,364,295,1921-07-23 09:00:00,0.81650,364,295
